Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
100000Name,6.88874E+15,米饭,,,,,,
100001Name,6.88874E+15,豆腐,,,,,,
100002Name,6.88874E+15,土豆,,,,,,
100003Name,6.88874E+15,南瓜,,,,,,
100004Name,6.88874E+15,牛肉,,,,,,
100005Name,6.88874E+15,番茄,,,,,,
100006Name,6.88874E+15,鸡蛋,,,,,,
100007Name,6.88874E+15,猪肉,,,,,,
100008Name,6.88874E+15,包菜,,,,,,
100009Name,6.88874E+15,生菜,,,,,,
100010Name,6.88874E+15,洋葱,,,,,,
100011Name,6.88874E+15,鸡肉,,,,,,
100012Name,6.88874E+15,香菇,,,,,,
100013Name,6.88874E+15,萝卜,,,,,,
100014Name,6.88874E+15,面条,,,,,,
100015Name,6.88874E+15,海苔,,,,,,
100016Name,6.88874E+15,红豆,,,,,,
100017Name,6.88874E+15,苹果,,,,,,
100018Name,6.88874E+15,西瓜,,,,,,
100019Name,6.88874E+15,草莓,,,,,,
100020Name,6.88874E+15,章鱼,,,,,,
100021Name,6.88874E+15,鱿鱼,,,,,,
100022Name,6.88874E+15,螃蟹,,,,,,
100023Name,6.88874E+15,龙虾,,,,,,
100024Name,6.88874E+15,生蚝,,,,,,
100025Name,6.88874E+15,扇贝,,,,,,
100026Name,6.88874E+15,大虾,,,,,,
100027Name,6.88874E+15,鰤鱼,,,,,,
100028Name,6.88874E+15,沙丁鱼,,,,,,
100029Name,6.88874E+15,河豚,,,,,,
100030Name,6.88874E+15,竹荚鱼,,,,,,
100031Name,6.88874E+15,安康鱼,,,,,,
100032Name,6.88874E+15,海鲈鱼,,,,,,
100033Name,6.88874E+15,比目鱼,,,,,,
100034Name,6.88874E+15,鲷鱼,,,,,,
100035Name,6.88874E+15,秋刀鱼,,,,,,
100036Name,6.88874E+15,青花鱼,,,,,,
100037Name,6.88874E+15,鳗鱼,,,,,,
100038Name,6.88874E+15,三文鱼,,,,,,
100039Name,6.88874E+15,金枪鱼,,,,,,
